PF00735	CL0023
PF00736	
PF00737	
PF00738	CL0055
PF00739	
PF00740	CL0605
PF00741	
PF00742	CL0139
PF00743	CL0063
PF00745	
PF00746	
PF00747	
PF00748	
PF00749	CL0039
PF00750	CL0039
PF00751	
PF00752	CL0280
PF00753	CL0381
PF00754	CL0202
PF00755	CL0149
PF00756	CL0028
PF00757	CL0547
PF00758	CL0053
PF00759	CL0059
PF00760	CL0055
PF00761	
PF00762	CL0043
PF00763	CL0603
PF00764	CL0039
PF00765	CL0257
PF00766	CL0085
PF00767	
PF00768	CL0013
PF00769	CL0719
PF00770	CL0125
PF00771	
PF00772	
PF00773	
PF00775	CL0287
PF00777	
PF00778	CL0072
PF00779	
PF00780	
PF00781	CL0240
PF00782	CL0031
PF00784	
PF00786	
PF00787	
PF00788	CL0072
PF00789	CL0072
PF00790	CL0009
PF00791	CL0661
PF00792	CL0154
PF00793	CL0036
PF00794	CL0072
PF00795	
PF00796	
PF00797	CL0125
PF00798	
PF00799	CL0169
PF00800	CL0177
PF00801	CL0159
PF00802	
PF00803	CL0571
PF00804	CL0445
PF00805	CL0505
PF00806	CL0020
PF00807	
PF00808	CL0012
PF00809	CL0036
PF00810	CL0141
PF00811	
PF00812	CL0026
PF00813	
PF00814	CL0108
PF00815	CL0099
PF00816	
PF00817	
PF00818	
PF00819	CL0075
PF00820	
PF00821	CL0374
PF00822	CL0375
PF00823	CL0352
PF00825	CL0329
PF00827	CL0652
PF00828	CL0588
PF00829	
PF00830	
PF00831	CL0346
PF00832	
PF00833	
PF00834	CL0036
PF00835	
PF00836	
PF00837	CL0172
PF00838	CL0080
PF00839	
PF00840	CL0004
PF00841	
PF00842	
PF00843	
PF00844	
PF00845	CL0571
PF00846	
PF00847	CL0081
PF00848	CL0209
PF00849	CL0649
PF00850	CL0302
PF00851	CL0125
PF00852	CL0113
PF00853	CL0073
PF00854	CL0015
PF00855	CL0049
PF00856	
PF00857	
PF00858	
PF00859	
PF00860	CL0062
PF00861	CL0267
PF00862	CL0113
PF00863	CL0124
PF00864	
PF00865	
PF00866	CL0051
PF00867	CL0464
PF00868	CL0159
